endpoint,is_active,name,position,years_active
/players/A/AaitIs00.htm,True,Isaako Aaitui,NT,2013-2013
/players/A/AbbeJo20.htm,False,Joe Abbey,E,1948-1949
/players/A/AbboFa20.htm,False,Fay Abbott,BB-FB-TB-QB-WB-E,1921-1929
/players/A/abbotvin01.htm,False,Vince Abbott,K,1987-1988
/players/A/AbbrJa00.htm,True,Jared Abbrederis,WR,2015-2016
/players/A/AbbrDu20.htm,False,Duke Abbruzzi,HB-DB,1946-1946
/players/A/AbduKa00.htm,False,Karim Abdul-Jabbar,RB,1996-2000
/players/A/AbduIs00.htm,True,Isa Abdul-Quddus,S,2011-2016
/players/A/AbduAm00.htm,True,Ameer Abdullah,RB,2015-2016
/players/A/AbduHa20.htm,False,Hamza Abdullah,DB,2005-2011
/players/A/AbduHu99.htm,False,Husain Abdullah,DB,2008-2015
/players/A/AbduKh20.htm,False,Khalid Abdullah,LB,2003-2003
/players/A/AbduRa00.htm,False,Rabih Abdullah,RB,1999-2004
/players/A/AbduRa20.htm,False,Rahim Abdullah,LB,1999-2000
/players/A/AbelFr20.htm,False,Fred Abel,BB-FB,1926-1926
/players/A/AbelBu20.htm,False,Bud Abell,LB,1966-1968
/players/A/AberWa00.htm,False,Walter Abercrombie,RB,1982-1988
/players/A/AberCl20.htm,False,Cliff Aberson,TB-DB,1946-1946
/players/A/AbiaVi99.htm,False,Victor Abiamiri,DE,2007-2009
/players/A/AbouOd00.htm,True,Oday Aboushi,OT,2014-2016
/players/A/AbraCl20.htm,False,Clifton Abraham,DB,1995-1997
/players/A/AbraDo00.htm,False,Donnie Abraham,DB,1996-2004
/players/A/AbraJo00.htm,False,John Abraham,DE,2000-2014
/players/A/AbraRo20.htm,False,Robert Abraham,LB,1982-1987
/players/A/AbraDa00.htm,False,Danny Abramowicz,E,1967-1974
/players/A/AbraSi20.htm,False,Sid Abramowitz,T,1983-1987
/players/A/AbraBo20.htm,False,Bobby Abrams,LB,1990-1995
/players/A/AbraKe20.htm,False,Kevin Abrams,DB,1997-1999
/players/A/AbraNa20.htm,False,Nate Abrams,E,1921-1921
/players/A/AbraGe20.htm,False,George Abramson,G-T,1925-1925
/players/A/AbreDi20.htm,False,Dick Abrell,BB-WB,1920-1920
/players/A/AbruRa20.htm,False,Ray Abruzzese,B,1962-1966
/players/A/AbruFr20.htm,False,Frank Abruzzino,BB-LB-C-G-E-WB-DB,1931-1933
/players/A/AbshDi20.htm,False,Dick Absher,LB-K,1967-1972
/players/A/AcheSt20.htm,False,Steve Ache,LB,1987-1987
/players/A/AchiGe20.htm,False,George Achica,DT,1985-1985
/players/A/AchiSn20.htm,False,Sneeze Achiu,WB-TB-E-BB,1927-1928
/players/A/AchoEm00.htm,True,Emmanuel Acho,OLB,2012-2014
/players/A/AchoSa00.htm,True,Sam Acho,OLB,2011-2016
/players/A/AckeBi20.htm,False,Bill Acker,NT,1980-1987
/players/A/AckeKe00.htm,True,Kenneth Acker,CB,2015-2016
/players/A/AckeRi20.htm,False,Rick Ackerman,NT-DT,1982-1987
/players/A/AckeTo20.htm,False,Tom Ackerman,G-C,1996-2003
/players/A/AcksRo20.htm,False,Ron Acks,LB,1968-1976
/players/A/AcorFr20.htm,False,Fred Acorn,DB,1984-1984
/players/A/AdamEd20.htm,False,Ed Adamchik,C,1965-1965
/players/A/AdamMi01.htm,False,Mike Adamle,RB,1971-1976
/players/A/AdamTo02.htm,False,Tony Adamle,LB-FB,1947-1954
/players/A/AdamAn01.htm,True,Andrew Adams,S,2016-2016
/players/A/AdamAn20.htm,False,Anthony Adams,DT-NT,2003-2011
/players/A/AdamBi20.htm,False,Bill Adams,G-T,1972-1978
/players/A/AdamBl20.htm,False,Blue Adams,DB,2003-2007
/players/A/AdamBo00.htm,False,Bob Adams,TE-T,1969-1976
/players/A/AdamBr20.htm,False,Brent Adams,T,1975-1977
/players/A/AdamCh00.htm,False,Charlie Adams,WR,2003-2005
/players/A/AdamCh20.htm,False,Chet Adams,T-E-DT,1939-1950
/players/A/AdamCu00.htm,False,Curtis Adams,RB,1985-1988
/players/A/AdamDa00.htm,False,Darvin Adams,WR,2011-2011
/players/A/AdamDa01.htm,True,Davante Adams,WR,2014-2016
/players/A/AdamDa20.htm,False,David Adams,RB,1987-1987
/players/A/AdamDo20.htm,False,Doug Adams,LB,1971-1974
/players/A/AdamEa20.htm,False,Earnest Adams,LB,1987-1987
/players/A/AdamFl00.htm,False,Flozell Adams,T-G-TE,1998-2010
/players/A/AdamGa99.htm,False,Gaines Adams,DE,2007-2009
/players/A/AdamGe00.htm,False,George Adams,RB,1985-1991
/players/A/AdamHe20.htm,False,Henry Adams,C,1939-1939
/players/A/AdamJa20.htm,False,Jamar Adams,DB,2008-2010
/players/A/AdamJe00.htm,True,Jeff Adams,T,2012-2015
/players/A/AdamJe01.htm,True,Jerell Adams,TE,2016-2016
/players/A/AdamJo01.htm,False,Joe Adams,WR,2012-2012
/players/A/AdamJo20.htm,False,John Adams,T,1945-1949
/players/A/AdamJo00.htm,False,John Adams,E-FB,1959-1963
/players/A/AdamJo02.htm,False,Johnny Adams,CB,2013-2013
/players/A/AdamJu00.htm,False,Julius Adams,DE-DT,1971-1987
/players/A/AdamKe20.htm,False,Keith Adams,LB,2001-2007
/players/A/AdamKe01.htm,False,Kendrick Adams,DL,2012-2012
/players/A/AdamKr00.htm,False,Kris Adams,WR,2012-2012
/players/A/AdamKy00.htm,False,Kyle Adams,TE,2011-2013
/players/A/AdamMi20.htm,False,Michael Adams,DB,1987-1989
/players/A/AdamMi98.htm,False,Michael Adams,DB,2007-2013
/players/A/AdamMi00.htm,False,Mike Adams,WR,1997-1997
/players/A/AdamMi21.htm,True,Mike Adams,DB,2004-2016
/players/A/AdamMi02.htm,True,Mike Adams,OT,2012-2016
/players/A/AdamNe20.htm,False,Neal Adams,E,1942-1947
/players/A/AdamPe20.htm,False,Pete Adams,G,1974-1976
/players/A/AdamPh00.htm,True,Phillip Adams,DB,2010-2015
/players/A/AdamSa20.htm,False,Sam Adams,G-T,1972-1981
/players/A/AdamSa00.htm,False,Sam Adams,DT-DE,1994-2007
/players/A/AdamSc20.htm,False,Scott Adams,G-T,1992-1997
/players/A/AdamSt20.htm,False,Stan Adams,LB,1984-1984
/players/A/AdamSt21.htm,False,Stefon Adams,DB,1986-1990
/players/A/AdamTh20.htm,False,Theo Adams,T,1992-1993
/players/A/AdamTi00.htm,False,Titus Adams,DT,2009-2009
/players/A/AdamTo01.htm,False,Tom Adams,WR,1962-1962
/players/A/AdamTo00.htm,False,Tony Adams,QB,1975-1987
/players/A/AdamVa20.htm,False,Vashone Adams,DB,1995-1997
/players/A/AdamVe20.htm,False,Verlin Adams,DE-T-G-E-LB,1943-1945
/players/A/AdamWi20.htm,False,Willie Adams,DE-LB,1965-1966
/players/A/AdamWi00.htm,False,Willis Adams,WR,1979-1985
/players/A/AdamKe00.htm,False,Ken Adamson,G,1960-1962
/players/A/AdcoLe00.htm,False,Levy Adcock,T,2012-2012
/players/A/AddaJa00.htm,True,Jahleel Addae,S,2013-2016
/players/A/AddaJo00.htm,False,Joseph Addai,RB,2006-2011
/players/A/AddaAb20.htm,False,Abe Addams,DE,1949-1949
/players/A/AddeHe00.htm,False,Herb Adderley,DB,1961-1972
/players/A/AddiMa00.htm,True,Mario Addison,DE,2011-2016
/players/A/AddiTo00.htm,False,Tom Addison,LB,1960-1967
/players/A/AdduNi20.htm,False,Nick Adduci,LB,1954-1955
/players/A/AdeyVi20.htm,False,Victor Adeyanju,DE,2006-2009
/players/A/AdibXa99.htm,False,Xavier Adibi,LB,2008-2012
/players/A/AdicJo20.htm,False,John Adickes,C,1987-1989
/players/A/AdicMa20.htm,False,Mark Adickes,G,1986-1991
/players/A/AdjeJu00.htm,True,Jude Adjei-Barimah,CB,2015-2016
/players/A/AdkiBo20.htm,False,Bob Adkins,BB-DE-G-LB,1940-1945
/players/A/AdkiKe20.htm,False,Kevin Adkins,DB,1987-1987
/players/A/AdkiMa00.htm,False,Margene Adkins,WR,1970-1973
/players/A/AdkiRo20.htm,False,Roy Adkins,G,1920-1920
/players/A/AdkiSa00.htm,False,Sam Adkins,QB,1977-1981
/players/A/AdkiSp99.htm,False,Spencer Adkins,LB,2009-2011
/players/A/AdkiJa00.htm,False,James Adkisson,WR,2006-2006
/players/A/AdonDa00.htm,True,Daniel Adongo,LB,2013-2015
/players/A/AfalAl99.htm,False,Al Afalava,DB,2009-2012
/players/A/AffhEr00.htm,False,Erik Affholter,WR,1991-1991
/players/A/AfflDi20.htm,False,Dick Afflis,T-DG-G,1951-1954
/players/A/AgajBe20.htm,False,Ben Agajanian,K,1945-1964
/players/A/AgasAl20.htm,False,Alex Agase,LB-G,1947-1953
/players/A/AgexLo20.htm,False,Louis Age,T,1992-1992
/players/A/AgeeMe20.htm,False,Mel Agee,DE-DT,1991-1995
/players/A/AgeeSa20.htm,False,Sam Agee,FB,1938-1939
/players/A/AgeeTo00.htm,False,Tommie Agee,RB,1988-1994
/players/A/AghoNe00.htm,True,Nelson Agholor,WR,2015-2016
/players/A/AgleBo20.htm,False,Bob Agler,HB-DB-FB-LB,1948-1949
/players/A/AgneRa20.htm,False,Ray Agnew,DT-DE,1990-2000
/players/A/AgneRa00.htm,True,Ray Agnew,FB,2014-2014
/players/A/AgneVi00.htm,False,Vince Agnew,CB,2012-2012
/players/A/AguaRo00.htm,True,Roberto Aguayo,K,2016-2016
/players/A/aguialou01.htm,False,Louie Aguiar,P,1991-2000
/players/A/AguiJo20.htm,False,Joe Aguirre,E,1941-1949
/players/A/AhYoC.00.htm,False,C.J. Ah You,DE,2009-2011
/players/A/AhanCh20.htm,False,Chidi Ahanotu,DE-DT,1993-2004
/players/A/AherDa20.htm,False,Dan Ahern,T,1921-1921
/players/A/AhreDa20.htm,False,Dave Ahrens,LB,1981-1990
/players/A/AielTo20.htm,False,Tony Aiello,WB-BB,1944-1944
/players/A/AikeDa00.htm,True,Danny Aiken,LS,2011-2015
/players/A/AikeKa00.htm,True,Kamar Aiken,WR,2011-2016
/players/A/AikeSa00.htm,False,Sam Aiken,WR,2003-2010
/players/A/AikeCa20.htm,False,Carl Aikens,WR,1987-1987
